,promoter,gc,rep,pos,rates_w_mutation,rates_wo_mutation
0,araBp,29,2,-83,63.938618714991904,66.82966682569284
1,araBp,29,2,-82,111.74596158595443,105.41206159554076
2,araBp,29,2,-81,171.36617142715187,165.89616066660417
3,araBp,29,2,-80,321.9232341403695,289.2176845619229
4,araBp,29,2,-79,384.2284533354912,352.0818942840035
5,araBp,29,2,-78,449.0345942772382,477.83144293460276
6,araBp,29,2,-77,513.4338320618945,559.2208504929943
7,araBp,29,2,-76,539.0660174483011,607.1936179220879
8,araBp,29,2,-75,619.5409327735028,704.3741691204972
9,araBp,29,2,-74,570.1228875867171,667.7649359641925
10,araBp,29,2,-73,672.708799630042,684.0948690084487
11,araBp,29,2,-72,672.9638129211368,688.1059872879947
12,araBp,29,2,-71,873.9476755387625,847.8471607467873
13,araBp,29,2,-70,841.9714862633327,804.250732801057
14,araBp,29,2,-69,891.3885305104163,829.143869974067
15,araBp,29,2,-68,1270.844276222291,987.735007384447
16,araBp,29,2,-67,1393.0770847124086,1064.2857764466728
17,araBp,29,2,-66,2404.952002734769,1057.7173938504372
18,araBp,29,2,-65,2570.89500510146,1160.4525027608777
19,araBp,29,2,-64,2370.50716923115,1081.0122289536341
20,araBp,29,2,-63,2490.8837858802926,913.2681861810185
21,araBp,29,2,-62,2415.534143288957,891.22635886319
22,araBp,29,2,-61,932.7535288609496,857.771341591597
23,araBp,29,2,-60,735.3839727369385,680.7501522485115
24,araBp,29,2,-59,810.8222593742682,744.8131358531722
25,araBp,29,2,-58,1152.1581098981546,1187.3109366210092
26,araBp,29,2,-57,1205.834540518897,1244.9771085279044
27,araBp,29,2,-56,1029.2881924196986,1087.2296504145781
28,araBp,29,2,-55,1202.45574536738,1205.5447460334512
29,araBp,29,2,-54,1139.3928465793072,1146.9331428789485
30,araBp,29,2,-53,756.2215048797757,710.5636963779265
31,araBp,29,2,-52,580.0312821386849,571.2258385356744
32,araBp,29,2,-51,869.5481758733896,819.1370437618012
33,araBp,29,2,-50,702.3581875890627,670.5730584014291
34,araBp,29,2,-49,861.2899019011047,830.2314685189888
35,araBp,29,2,-48,763.5931637388485,770.7585666401411
36,araBp,29,2,-47,915.343629145939,924.7936348645811
37,araBp,29,2,-46,949.6351617035457,948.1118936278344
38,araBp,29,2,-45,1005.9103889524579,1042.3367739007722
39,araBp,29,2,-44,867.3459432118033,891.2507903951138
40,araBp,29,2,-43,949.0956249379059,937.8720933243603
41,araBp,29,2,-42,872.1113075448224,859.0601180711112
42,araBp,29,2,-41,394.95427112674616,597.4079311895418
43,araBp,29,2,-40,289.86545217449725,414.2112078394489
44,araBp,29,2,-39,326.22352905817644,391.79753949767246
45,araBp,29,2,-38,677.553879551393,615.939057527837
46,araBp,29,2,-37,704.4836546188659,638.9152391002145
47,araBp,29,2,-36,714.4933897990866,654.8111850574318
48,araBp,29,2,-35,695.0333228822154,642.1535478473805
49,araBp,29,2,-34,752.5680101299785,696.4375685587478
50,araBp,29,2,-33,343.2533179315975,369.5802796771947
51,araBp,29,2,-32,349.76850405636435,378.4660094707709
52,araBp,29,2,-31,781.806684745232,751.4067158522123
53,araBp,29,2,-30,885.6460959496059,835.8220124844584
54,araBp,29,2,-29,820.7337638342867,768.3225355187727
55,araBp,29,2,-28,883.9941721446897,828.7450926868123
