tf,pwm_correlation,mean_site_score,self_score,norm_score,n_sites,corr_rank,score_rank,combined_rank,denovo_self_score
AllR,0.3705235609153482,-4.995158207507115,21.415095498926785,-0.23325407107138263,3,5.0,1.0,3.0,8.34649404045083
RcsAB,0.420339113017683,-11.499933845992771,13.70078425444129,-0.8393631804153777,6,2.0,4.0,3.0,8.34649404045083
RcsB,0.5236925351057502,-12.18698577178059,12.713132346729877,-0.958613930807963,12,1.0,7.0,4.0,8.34649404045083
LrhA,0.3701499615209012,-14.878857722460616,19.672222689484354,-0.7563384146934247,4,6.0,2.0,4.0,8.34649404045083
NhaR,0.354227174520535,-15.117892513399685,12.497579280942583,-1.2096656619296497,7,8.0,13.0,10.5,8.34649404045083
MngR,0.30226808752240264,-15.481737547928457,16.999375058062082,-0.9107239233824732,4,17.0,5.0,11.0,8.34649404045083
IlvY,0.29206071616907087,-12.312093920960097,14.960905865828037,-0.822951098775506,6,21.0,3.0,12.0,8.34649404045083
RcsB-BglJ,0.3139508127597176,-22.18602232113716,16.608703462969356,-1.3358069984573422,12,13.0,19.0,16.0,8.34649404045083
GadE,0.316832781764408,-16.721461619330146,12.132669145403577,-1.3782178858528438,15,12.0,22.0,17.0,8.34649404045083
Zur,0.24673675914805598,-14.660417096083702,12.490255523710484,-1.1737483727417393,5,31.0,12.0,21.5,8.34649404045083
GcvA,0.2485916289412523,-19.77036987845863,14.380346200168844,-1.3748187702342312,10,30.0,21.0,25.5,8.34649404045083
Mlc,0.26365325358411684,-25.29003940529401,15.926696752648576,-1.5879023628103128,10,26.0,26.0,26.0,8.34649404045083
NorR,0.2097540646494865,-16.511971404597087,14.169966798197438,-1.1652794702876492,6,44.0,11.0,27.5,8.34649404045083
Dan,0.24869180792821952,-22.900777423590835,13.770824207735705,-1.6629925034353727,5,29.0,31.0,30.0,8.34649404045083
MntR,0.21410825226271188,-31.719941195153382,23.427291573276268,-1.3539738939065673,7,40.0,20.0,30.0,8.34649404045083
YjjQ,0.3064365756230668,-24.20604990975117,12.20972144673233,-1.9825226984379238,7,16.0,45.0,30.5,8.34649404045083
PuuR,0.2051319545929611,-24.50375366371723,19.740723886255907,-1.241279387975103,8,48.0,14.0,31.0,8.34649404045083
