promoter,gc,rep,cv,cv_smooth,entropy,entropy_smooth,classification
araBp,29,2,5.105271137567325,1.9385261200043016,4.787686417797376,6.292157395977364,1
mglBp,9,2,4.80180226917971,1.7753730884648102,4.960044300770058,6.371063715601949,1
araBp,41,2,4.6145318174676255,1.6765684207088583,5.1000204187536,6.498607784143883,1
araBp,9,2,4.6042401505067,1.7202449710628256,5.004471069755292,6.446054373807956,1
araBp,13,2,4.586131683571824,1.6714785190962642,5.070242667372465,6.494204863062844,1
araBp,29,1,4.5858841009154805,1.6928006318856212,4.989819091205973,6.459541990893294,1
mglBp,23,2,4.525961911121276,1.706646996543228,4.930931327022839,6.405429640413225,1
araBp,23,1,4.477915342970779,1.6493673063403609,5.124163672724759,6.519524142445662,1
araBp,34,1,4.469008165605256,1.614800517475824,5.028546812487081,6.521697765081127,1
ldrDp,15,3,4.386287314641889,1.61838947866706,5.078409963256995,6.49118880868035,1
ldrDp,14,3,4.2723789606587586,1.5832212667982601,5.060165573427001,6.463600804857337,1
mglBp,23,1,4.263317306423648,1.5778402494625525,5.160741435687239,6.523084894579117,1
hdeAp2,13,1,4.2290738276677535,1.7972186808518038,5.104587707332783,6.322187421832363,1
araBp,23,2,4.13983312507136,1.5858932496982112,5.2345313692618145,6.535235629074979,1
araBp,41,1,4.090365269646389,1.5433021803887939,5.202696632749313,6.570516471076427,1
ldrDp,7,2,3.965507604462822,1.5201523834696586,5.2571255662649925,6.540499879813052,1
pheMp,7,2,3.954114408671441,1.6215312649492366,5.174661416157182,6.415354385724511,1
yahC_predicted,9,2,3.9044004462048707,1.6739365133153252,5.12205401932003,6.364433908682294,1
ldrDp,25,3,3.888969242776405,1.625288635986065,5.228781480105319,6.446079059955564,1
ompFp,25,3,3.8858061697773145,1.7702902880581115,5.017366471972263,6.187441486882032,1
araBp,40,3,3.87097200921015,1.4140058661192134,5.365871079887365,6.669947707951542,1
ompFp,36,1,3.8658437764453013,1.756751769339475,5.052906667446443,6.217021426814801,1
hdeAp2,13,3,3.8550701751309786,1.8216423761879714,5.072279371407726,6.2461168484635925,1
ihfAp4,15,2,3.8468416794114844,2.186844865416332,4.489420829146381,5.690155900151773,2
ihfAp4,36,2,3.8452908258665413,2.185250186690552,4.51106056571995,5.677336029056259,2
ihfAp4,14,3,3.8268148249148,2.1302958027527894,4.526738781235474,5.745437981838761,2
ldrDp,21,2,3.7973991933293045,1.4304169189757296,5.271892794843821,6.632155696052902,1
xylAp,9,2,3.788313364345424,1.4805093793342035,5.2787033475403415,6.546102849706863,1
araBp,18,1,3.7763016252437582,1.3884741991258551,5.314057318754477,6.651994721961176,1
ldrDp,40,3,3.7639425739162733,1.323407267637497,5.099034428116957,6.619526649819482,1
ihfAp4,14,1,3.7567653026418637,2.029130752363265,4.725631438625467,5.907605893061695,1
hdeAp2,40,3,3.7344359997883116,1.7345632903237034,5.06119044619642,6.265843766669539,1
ihfAp4,4,3,3.724404194484885,2.100412365436198,4.628114498792518,5.8284940056638455,2
ihfAp4,11,2,3.721767028829599,2.0415632121937555,4.6301044567666505,5.878930921609426,2
ihfAp4,15,3,3.718177508811834,2.0630644593665988,4.5926181938626085,5.797812342116329,2
ihfAp4,40,2,3.7166306445346,2.127136388194673,4.692485882394848,5.807824829578059,2
hdeAp2,14,2,3.7014840202699646,1.749954920450097,5.087330772129654,6.2758875365327285,1
xylAp,23,1,3.6990142885106283,1.3806722655739498,5.28538313299558,6.617973174997835,1
hdeAp2,32,2,3.695030031311818,1.709365963783333,5.1613412412610185,6.315276732621003,1
ihfAp4,36,1,3.689826021458119,2.0850246610922727,4.656250067409424,5.78341154348648,2
galEp1,36,2,3.673905638196253,2.2088558869156394,4.720484103557423,5.700528274049002,2
yahC_predicted,23,2,3.6652944244714782,1.5533610211338857,5.255568340099679,6.481557204526315,1
galEp1,33,2,3.6604510551092835,2.015654126440883,4.8943427548957015,5.858371563755913,2
ihfAp4,41,1,3.6554613836478884,2.094355773567104,4.700453501450498,5.820172446435054,2
ompFp,25,1,3.6551471574484125,1.728142037421397,5.133174688564203,6.233290631966139,1
hdeAp2,29,2,3.6529351420334275,1.6605263177169878,5.174609845946446,6.3049188515377335,1
xylAp,29,2,3.649505228251849,1.3876990373300098,5.341351494668878,6.615219272072797,1
galEp1,40,2,3.645304676056993,2.033013217202551,4.824107007428096,5.896905660250669,2
ihfAp4,4,2,3.6443315486013104,2.0320172014920646,4.623924306712578,5.8579724604506485,2
araBp,37,1,3.6440999846263082,1.3745145477886394,5.37947532041232,6.653965382844017,1
hdeAp2,29,1,3.643827434139007,1.6549306123074614,5.200493674068774,6.337871636264673,1
hdeAp2,37,2,3.6384954377329293,1.7054321626757094,5.175409452724309,6.306748074004274,1
xylAp,41,2,3.63565047605422,1.3348821587800714,5.34389336668314,6.652176167579543,1
ihfAp4,14,2,3.6297212828842373,2.0581046756019967,4.689984437838214,5.856652104301921,2
galEp1,41,1,3.6225279949121325,1.9538031529383708,4.8025847612235975,5.9455298625067075,2
galEp1,15,3,3.616511442999339,2.102155949462267,4.743741560021292,5.775489547941895,2
ihfAp4,21,2,3.610757779103937,2.070754451319696,4.704933104499338,5.805024104142799,2
ihfAp4,28,1,3.6072141262636155,1.9942665440414369,4.756301809649825,5.929449820113654,2
hdeAp2,13,2,3.5950270295725235,1.7117200052385644,5.093741180648338,6.261183083601805,1
tolCp4,33,1,3.588238200618208,1.4994082893529341,5.320065787913379,6.476765685044217,1
ihfAp4,17,2,3.583956625934607,1.9316539277720979,4.783780807106361,5.971105116000756,2
yahC_predicted,23,1,3.5803675357395877,1.5837359341782553,5.3813657536767465,6.419376409841614,1
galEp1,41,2,3.5791835874030467,2.0574152106268846,4.795431971624544,5.849208775492489,2
ihfAp4,34,2,3.576803129273014,2.083192199365604,4.774406813872009,5.836751461056274,2
araBp,34,2,3.5767387321515782,1.3425444699681002,5.458216265399706,6.698407672634939,1
ihfAp4,41,2,3.5690495575165846,2.0505978086281025,4.719639415799252,5.842385149785434,2
hdeAp2,41,1,3.562077839760622,1.6598225793971875,5.280451271868622,6.346908135027909,1
ihfAp4,21,1,3.5596629417280528,2.0167695486487425,4.740465822870404,5.887407636748169,2
ihfAp4,33,2,3.552317148822431,1.9931460680798523,4.79574197319087,5.9425633404327245,2
hdeAp2,31,1,3.5471429080177828,1.5700741710424735,5.212132171626917,6.376523648236036,1
mglBp,34,1,3.5426234463403095,1.31373453592868,5.336969736244903,6.661266849893363,1
hdeAp2,37,1,3.5408257493394366,1.6169558421811896,5.27019965769833,6.4218787241960555,1
ihfAp4,35,2,3.5390601625397475,2.041200362423934,4.73091903213254,5.87265382623725,2
ompFp,8,1,3.5304439746444225,1.7408567560135462,5.130906643552395,6.2013253698566135,1
hdeAp2,40,1,3.5277067610902315,1.71354611951597,5.190350852375622,6.286707048129024,1
hdeAp2,10,2,3.5276249126220978,1.6314656003927868,5.286330070374033,6.37565396321021,1
hdeAp2,12,1,3.5267306394953586,1.626652985832844,5.327559287620344,6.401091475956019,1
cpxRp2,41,2,3.525376036406115,1.4416341579400105,5.426009021963225,6.604114102218999,1
galEp1,14,3,3.5249346725019657,2.0990048444736784,4.839636047813853,5.797402025597746,2
ompFp,7,2,3.522405663881069,1.750485512866511,5.086268923641505,6.169531891440755,1
ihfAp4,11,1,3.52216788001842,2.0015124453477955,4.776880414352628,5.905969228995431,2
yadE_predicted,9,2,3.517595449927908,1.7025791822252412,5.119255359425199,6.24795738103426,1
ihfAp4,32,2,3.515116663054714,2.0229628127110355,4.736995727503057,5.864227342474816,2
yahC_predicted,29,2,3.5150493670675833,1.7120845928691357,5.2512861926258605,6.344640700092387,1
cpxRp2,23,2,3.5150377877551753,1.4332095788079318,5.473541126567984,6.602079036772009,1
ihfAp4,2,1,3.514898299279183,2.0223303716064014,4.7769468711807646,5.882687272938644,2
