,promoter,gc,rep,pos,rates_w_mutation,rates_wo_mutation
0,araBp,29,2,-83,50.69748626464223,48.475041795836106
1,araBp,29,2,-82,92.10729440852128,82.885837990562
2,araBp,29,2,-81,142.1457419650743,133.1259522828669
3,araBp,29,2,-80,269.1338721185829,240.21108166548012
4,araBp,29,2,-79,321.30074855504716,292.63919114024924
5,araBp,29,2,-78,396.2196992709411,420.85550418762125
6,araBp,29,2,-77,453.59623687577266,493.43007714581495
7,araBp,29,2,-76,463.88489226290244,523.6007558436081
8,araBp,29,2,-75,534.1283244218228,606.9010690938808
9,araBp,29,2,-74,491.0698063590584,574.708664595414
10,araBp,29,2,-73,569.2398957136876,578.3370068083923
11,araBp,29,2,-72,569.5777890892242,581.5526056595453
12,araBp,29,2,-71,782.3906984715243,769.8762295067543
13,araBp,29,2,-70,756.1989358680541,734.1827131774279
14,araBp,29,2,-69,805.040452156489,758.6489524993686
15,araBp,29,2,-68,1202.706879822471,941.41468531659
16,araBp,29,2,-67,1318.2325861960405,1015.5317085025032
17,araBp,29,2,-66,2259.413344982045,1004.4206141519028
18,araBp,29,2,-65,2414.9174894677185,1101.3276196577854
19,araBp,29,2,-64,2226.588413580405,1025.9241887555036
20,araBp,29,2,-63,2336.995475043074,858.0313477837628
21,araBp,29,2,-62,2265.994466981649,837.2178390381749
22,araBp,29,2,-61,891.6455833190956,819.3541987221041
23,araBp,29,2,-60,725.3151983519066,669.4363703856011
24,araBp,29,2,-59,799.659108535337,732.9374432530608
25,araBp,29,2,-58,1141.5295977535095,1176.75475455839
26,araBp,29,2,-57,1194.7120240285983,1233.8861534956457
27,araBp,29,2,-56,1022.043230174086,1079.8154641896149
28,araBp,29,2,-55,1195.3520700039496,1198.267648459174
29,araBp,29,2,-54,1132.682913838181,1139.9635860473934
30,araBp,29,2,-53,753.9898912275843,708.430154106445
31,araBp,29,2,-52,579.7347061249512,570.6536157526715
32,araBp,29,2,-51,869.416087485312,818.940945581572
33,araBp,29,2,-50,702.3581875890627,670.5730584014291
34,araBp,29,2,-49,861.2899019011047,830.2314685189888
35,araBp,29,2,-48,763.5931637388485,770.7585666401411
36,araBp,29,2,-47,915.343629145939,924.7936348645811
37,araBp,29,2,-46,949.6351617035457,948.1118936278344
38,araBp,29,2,-45,1005.9103889524579,1042.3367739007722
39,araBp,29,2,-44,867.3459432118033,891.2507903951138
40,araBp,29,2,-43,949.0956249379059,937.8720933243603
41,araBp,29,2,-42,872.1113075448224,859.0601180711112
42,araBp,29,2,-41,394.95427112674616,597.4079311895418
43,araBp,29,2,-40,289.86545217449725,414.2112078394489
44,araBp,29,2,-39,326.22352905817644,391.79753949767246
45,araBp,29,2,-38,677.553879551393,615.939057527837
46,araBp,29,2,-37,704.4836546188659,638.9152391002145
47,araBp,29,2,-36,714.4933897990866,654.8111850574318
48,araBp,29,2,-35,695.0333228822154,642.1535478473805
49,araBp,29,2,-34,752.5680101299785,696.4375685587478
50,araBp,29,2,-33,343.2533179315975,369.5802796771947
51,araBp,29,2,-32,349.76850405636435,378.4660094707709
52,araBp,29,2,-31,781.806684745232,751.4067158522123
53,araBp,29,2,-30,885.6460959496059,835.8220124844584
54,araBp,29,2,-29,820.7337638342867,768.3225355187727
55,araBp,29,2,-28,883.9941721446897,828.7450926868123
56,araBp,29,2,-27,806.3877935795165,752.5303478265677
57,araBp,29,2,-26,616.5791679558382,576.7703294337629
58,araBp,29,2,-25,244.90031233489583,256.21019455504654
59,araBp,29,2,-24,237.99476121445366,236.8460803432539
60,araBp,29,2,-23,328.81627269705,321.7344646826176
61,araBp,29,2,-22,340.24389203906844,333.7587834762038
62,araBp,29,2,-21,324.08844929030994,319.05240872385866
63,araBp,29,2,-20,305.4710065381222,298.7995761922186
64,araBp,29,2,-19,469.55502785139254,484.52118240373795
65,araBp,29,2,-18,432.1773480305446,431.6805284260534
66,araBp,29,2,-17,459.16210577481326,456.9248996973886
67,araBp,29,2,-16,614.635831330871,548.5979769974967
68,araBp,29,2,-15,646.1990862431956,569.556898750961
69,araBp,29,2,-14,529.2407722648999,437.1044590843233
70,araBp,29,2,-13,533.9677758325279,472.24343833760514
71,araBp,29,2,-12,649.1691189002377,584.7627413694831
72,araBp,29,2,-11,613.5313446875766,570.5081482037142
73,araBp,29,2,-10,590.8858503484903,561.282578047661
74,araBp,29,2,-9,618.927305596227,585.4285776312985
75,araBp,29,2,-8,720.1054609695748,703.321907162484
76,araBp,29,2,-7,653.5712551499156,645.790993513402
77,araBp,29,2,-6,643.1931355858039,632.3435770204732
78,araBp,29,2,-5,670.7737968151885,666.5057798137356
79,araBp,29,2,-4,675.3497174183431,673.8169266536676
80,araBp,29,2,-3,628.4048900079514,607.8286906121778
81,araBp,29,2,-2,551.821508673717,536.8031277152858
82,araBp,29,2,-1,589.8910905537664,575.0608903858562
83,araBp,29,2,0,505.59947172092257,506.50003333415884
84,araBp,29,2,1,548.0902261187047,542.8602116679431
85,araBp,29,2,2,251.6724555986118,250.85019315443728
86,araBp,29,2,3,287.1068197884253,291.63898657435857
87,araBp,29,2,4,305.28725792797445,310.22742651766373
88,araBp,29,2,5,966.3198194911461,973.7029143801595
89,araBp,29,2,6,1064.4000845092835,1052.2865954644565
90,araBp,29,2,7,955.4738780447873,950.888589292795
91,araBp,29,2,8,1089.7116657492263,1075.4529371704357
92,araBp,29,2,9,996.5270114882011,987.3139877727491
93,araBp,29,2,10,514.7680802306787,553.6224569545586
94,araBp,29,2,11,286.2079812238943,331.68379150897533
95,araBp,29,2,12,336.6950150328055,379.7027095559628
96,araBp,29,2,13,306.62915459435897,324.87015426531576
97,araBp,29,2,14,333.5079269945436,349.550822270641
98,araBp,29,2,15,273.6843445224976,290.34246282688196
99,araBp,29,2,16,301.4804505146459,322.26925895633224
100,araBp,29,2,17,362.17069127019215,404.85887849196195
101,araBp,29,2,18,371.1648819131689,420.9440531586589
102,araBp,29,2,19,385.77820098809013,440.87829377177997
103,araBp,29,2,20,367.44283098331715,410.6263088472062
104,araBp,29,2,21,609.432895839881,690.1548873872707
105,araBp,29,2,22,517.089383000137,565.9166520820179
106,araBp,29,2,23,578.1357202154344,625.5602192541711
107,araBp,29,2,24,503.16010814658364,546.12134769504
108,araBp,29,2,25,602.1150774986937,658.371961478615
109,araBp,29,2,26,533.6911264080825,530.319216878586
110,araBp,29,2,27,588.0333757071259,581.1178044482962
111,araBp,29,2,28,497.5054274555521,487.33344546784537
112,araBp,29,2,29,563.3609732046991,552.752851043089
113,araBp,29,2,30,511.97006887217043,497.605733288271
114,araBp,29,2,31,248.46638260516588,254.0682574375889
115,araBp,29,2,32,233.6531650807549,237.64264682576552
116,araBp,29,2,33,216.89172882386305,223.308526618916
117,araBp,29,2,34,333.4630684812095,347.88805144236255
118,araBp,29,2,35,324.63387496276096,357.7163588330323
119,araBp,29,2,36,297.01291096932886,317.85620389160863
120,araBp,29,2,37,309.32569859967975,337.4643954536295
121,araBp,29,2,38,280.1327735671875,302.0483423402348
122,araBp,29,2,39,259.10386244191693,273.1722309734482
123,araBp,29,2,40,435.96232800116604,433.67536157503423
124,araBp,29,2,41,971.6202041151971,939.417960226758
125,araBp,29,2,42,877.715901310737,844.8723755260613
126,araBp,29,2,43,997.4397639209835,966.4958266623528
127,araBp,29,2,44,878.463434947601,850.3819723276212
128,araBp,29,2,45,1039.512409795013,999.0932741373222
129,araBp,29,2,46,455.5840264820649,494.89237043214007
130,araBp,29,2,47,555.1775475916404,599.5555947190012
131,araBp,29,2,48,502.4175819173336,531.8940446621781
132,araBp,29,2,49,632.7890781981095,690.0679571391522
133,araBp,29,2,50,642.4255716587693,705.9982738638604
134,araBp,29,2,51,543.1930967596675,566.4560602260912
135,araBp,29,2,52,577.3266104172916,611.7558576211125
136,araBp,29,2,53,624.0677558748996,654.6807435973185
137,araBp,29,2,54,667.4600190765947,667.577675315655
138,araBp,29,2,55,572.4267871929932,571.8798661478214
139,araBp,29,2,56,617.8414675981577,624.9681122317074
140,araBp,29,2,57,591.3664260548887,598.1876877987611
141,araBp,29,2,58,252.1149905615477,248.7232969333409
142,araBp,29,2,59,241.01566961537304,233.95957513373563
143,araBp,29,2,60,216.7934949954503,210.32941787027593
144,araBp,29,2,61,251.12315422103643,239.88074875106847
145,araBp,29,2,62,246.51875945897908,235.4824858091508
146,araBp,29,2,63,208.95321795735424,195.77498280131545
147,araBp,29,2,64,199.33861000224886,187.29318929535654
148,araBp,29,2,65,217.8552293569871,204.69090614448032
0,mglBp,9,2,-83,81.18696110940402,79.32976325982608
1,mglBp,9,2,-82,96.6699196682319,101.99254831370249
2,mglBp,9,2,-81,180.03365329625993,202.8809705730582
3,mglBp,9,2,-80,330.9477175280544,352.598707284683
4,mglBp,9,2,-79,339.2215123555022,359.33113776521293
5,mglBp,9,2,-78,351.13471063748557,371.80265865965015
6,mglBp,9,2,-77,347.32848097552244,375.48066083968286
7,mglBp,9,2,-76,515.0002649045077,525.4282609057976
8,mglBp,9,2,-75,487.2044649485471,462.7715146383972
9,mglBp,9,2,-74,495.61663441011416,469.66103879903886
10,mglBp,9,2,-73,483.57713849157,461.55080478381086
11,mglBp,9,2,-72,496.6903571562324,474.7023667278885
12,mglBp,9,2,-71,364.72167017435703,362.9085971881411
13,mglBp,9,2,-70,218.87308904246348,229.08469314780243
14,mglBp,9,2,-69,262.9052054251251,249.45847326574318
15,mglBp,9,2,-68,505.1110297504051,453.7991347530639
16,mglBp,9,2,-67,458.76647279481625,410.1973212115466
17,mglBp,9,2,-66,504.9064935689991,454.1265247659156
18,mglBp,9,2,-65,475.1092280838291,432.72166778608494
19,mglBp,9,2,-64,448.3063853208266,422.44619301493094
20,mglBp,9,2,-63,242.71593785113126,245.50977899821996
21,mglBp,9,2,-62,173.6407677316864,184.59860670401525
